type,manufacturer,name,chip_id,size,flash_page,chip_class,algo,delay,eeprom_extend,eeprom,unk2,eeprom_page,voltage
93_EEPROM,ATMEL,AT93C56@16,0,256,16,2,89,100,0,0,0,0,0
93_EEPROM,ATMEL,AT93C57@16,0,256,16,2,88,100,0,0,0,0,0
93_EEPROM,ATMEL,AT93C66@16,0,512,16,2,89,100,0,0,0,0,0
93_EEPROM,ATMEL,AT93C76@16,0,1024,16,2,90,100,0,0,0,0,0
93_EEPROM,ATMEL,AT93C86@16,0,2048,16,2,91,100,0,0,0,0,0
93_EEPROM,ATMEL,AT93C66@8,0,512,16,2,9,100,0,0,0,1,0
24_EEPROM,ATMEL,AT24C1024,0,131072,256,1,1,4000,0,0,0,1,0
25_EEPROM,ATMEL,AT25010,0,128,1,3,0,3000,0,0,0,4,0
25_EEPROM,ATMEL,AT25020,0,256,64,3,0,100,0,0,0,4,2
25_EEPROM,ATMEL,AT25040,0,512,64,3,0,100,0,0,0,4,2
25_EEPROM,ATMEL,AT25080,0,1024,64,3,1,100,0,0,0,4,2
25_EEPROM,ATMEL,AT25160,0,2048,64,3,1,100,0,0,0,4,2
25_EEPROM,ATMEL,AT25320,0,4096,32,3,1,3000,0,0,0,4,2
25_EEPROM,ATMEL,AT25640,0,8192,32,3,1,3000,0,0,0,4,2
25_EEPROM,ATMEL,AT25128,0,16384,64,3,1,100,0,0,0,4,2
25_EEPROM,ATMEL,AT25256,0,32768,64,3,1,0,0,0,0,4,2
25_EEPROM,MICROCHIP,25LC1024,0,131072,256,3,2,0,0,0,0,4,2
25_EEPROM,FM,FM25L16,0,2048,8,3,1,3000,0,0,0,4,0
25_EEPROM,FM,FM25CL64,0,8192,32,3,1,3000,0,0,0,4,0
25_EEPROM,CAT,CAT25C64,0,8192,32,3,1,0,0,0,0,4,0
93_EEPROM,SII,S93C46,0,128,16,2,87,1000,0,0,0,1,0
93_EEPROM,SII,S93C56,0,256,16,2,88,1000,0,0,0,1,0
93_EEPROM,SII,S93C76,0,1024,16,2,10,1000,0,0,0,1,0
93_EEPROM,MICTOCHIP,93LC86_16,0,2048,16,2,123,1000,0,0,0,1,0
93_EEPROM,MICTOCHIP,93LC86_8,0,2048,1,2,43,1000,0,0,0,1,0
95_EEPROM,ST,M95010,0,128,16,4,0,0,0,2,0,4,0
95_EEPROM,ST,M95020,0,256,16,4,0,0,0,2,0,4,0
95_EEPROM,ST,M95040,0,512,16,4,0,0,0,2,0,4,0
95_EEPROM,ST,M95080,0,1024,32,4,1,0,0,2,0,4,0
95_EEPROM,ST,M95160,0,2048,32,4,1,0,0,2,0,4,0
95_EEPROM,ST,M95320,0,4096,32,4,1,0,0,2,0,4,0
95_EEPROM,ST,M95640,0,8192,32,4,1,0,0,2,0,4,0
95_EEPROM,ST,M95128,0,16384,64,4,1,0,0,2,0,4,0
95_EEPROM,ST,M95256,0,32768,64,4,1,0,0,2,0,4,0
95_EEPROM,ST,M95512,0,65536,128,4,1,0,0,2,0,4,0
95_EEPROM,ST,M95M01,0,131072,256,4,2,0,0,2,0,4,0
95_EEPROM,ST,M95M02,0,262144,256,4,2,0,0,2,0,4,0
SPI_FLASH,WINBOND,W25Q64FW(1.8V),15687703,8388608,256,0,0,1000,0,0,0,1,0
25_EEPROM,MICROCHIP,25AA010A,0,128,16,3,0,3000,0,0,0,4,2
25_EEPROM,MICROCHIP,25AA020A,0,256,16,3,0,3000,0,0,0,4,2
25_EEPROM,MICROCHIP,25AA040A,0,512,16,3,0,3000,0,0,0,4,2
25_EEPROM,MICROCHIP,25AA080A,0,1024,16,3,1,3000,0,0,0,4,2
25_EEPROM,MICROCHIP,25AA016C,0,2048,16,3,1,3000,0,0,0,4,2
25_EEPROM,MICROCHIP,25AA0320,0,4096,32,3,1,3000,0,0,0,4,2
25_EEPROM,MICROCHIP,25AA0640,0,8192,32,3,1,3000,0,0,0,4,2
25_EEPROM,MICROCHIP,25AA128,0,16384,64,3,1,3000,0,0,0,4,2
25_EEPROM,MICROCHIP,25AA256,0,32768,64,3,1,3000,0,0,0,4,2
25_EEPROM,MICROCHIP,25AA512,0,65536,128,3,1,3000,0,0,0,4,2
25_EEPROM,MICROCHIP,25AA1024,0,131072,256,3,1,3000,0,0,0,4,2
25_EEPROM,MICROCHIP,25LC010,0,128,16,3,0,3000,0,0,0,4,2
25_EEPROM,MICROCHIP,25LC020,0,256,16,3,0,3000,0,0,0,4,2
25_EEPROM,MICROCHIP,25LC040,0,512,16,3,0,3000,0,0,0,4,2
25_EEPROM,MICROCHIP,25LC080A,0,1024,16,3,1,3000,0,0,0,4,2
25_EEPROM,MICROCHIP,25LC080B,0,1024,32,3,1,3000,0,0,0,4,2
25_EEPROM,MICROCHIP,25LC16C,0,2048,16,3,1,3000,0,0,0,4,2
25_EEPROM,MICROCHIP,25LC320,0,4096,32,3,1,3000,0,0,0,4,2
25_EEPROM,MICROCHIP,25C320,0,4096,32,3,1,3000,0,0,0,4,2
